TIMESTAMP,RECORD,Kmh_Max3Sec,WS_kmh_3SecAvg_TMx,WindDir_3sec,Kmh_Mean,WindDir_MeanVect,Kmh_StDev
23/3/17 18:00,19474,0,50:00.1,0,0,0,0
23/3/17 18:10,19475,0,00:00.1,0,0,0,0
23/3/17 18:20,19476,0,10:00.1,0,0,0,0
23/3/17 18:30,19477,0,20:00.1,0,0,0,0
23/3/17 18:40,19478,0,30:00.1,0,0,0,0
23/3/17 18:50,19479,0,40:00.1,0,0,0,0
23/3/17 19:00,19480,0,50:00.1,0,0,0,0
23/3/17 19:10,19481,0,00:00.1,0,0,0,0
23/3/17 19:20,19482,0,10:00.1,0,0,0,0
23/3/17 19:30,19483,0,20:00.1,0,0,0,0
23/3/17 19:40,19484,0,30:00.1,0,0,0,0
23/3/17 19:50,19485,0,40:00.1,0,0,0,0
23/3/17 20:00,19486,0,50:00.1,0,0,0,0
23/3/17 20:10,19487,0,00:00.1,0,0,0,0
23/3/17 20:20,19488,0,10:00.1,0,0,0,0
23/3/17 20:30,19489,0,20:00.1,0,0,0,0
23/3/17 20:40,19490,0,30:00.1,0,0,0,0
23/3/17 20:50,19491,0,40:00.1,0,0,0,0
23/3/17 21:00,19492,0,50:00.1,0,0,0,0
23/3/17 21:10,19493,0,00:00.1,0,0,0,0
23/3/17 21:20,19494,0,10:00.1,0,0,0,0
23/3/17 21:30,19495,0,20:00.1,0,0,0,0
23/3/17 21:40,19496,0,30:00.1,0,0,0,0
23/3/17 21:50,19497,0,40:00.1,0,0,0,0
23/3/17 22:00,19498,0,50:00.1,0,0,0,0
23/3/17 22:10,19499,0,00:00.1,0,0,0,0
23/3/17 22:20,19500,0,10:00.1,0,0,0,0
23/3/17 22:30,19501,0,20:00.1,0,0,0,0
23/3/17 22:40,19502,0,30:00.1,0,0,0,0
23/3/17 22:50,19503,0,40:00.1,0,0,0,0
23/3/17 23:00,19504,0,50:00.1,0,0,0,0
23/3/17 23:10,19505,0,00:00.1,0,0,0,0
23/3/17 23:20,19506,0,10:00.1,0,0,0,0
23/3/17 23:30,19507,0,20:00.1,0,0,0,0
23/3/17 23:40,19508,0,30:00.1,0,0,0,0
23/3/17 23:50,19509,0,40:00.1,0,0,0,0
24/3/17 0:00,19510,0,50:00.1,0,0,0,0
24/3/17 0:10,19511,0,00:00.1,0,0,0,0
24/3/17 0:20,19512,0,10:00.1,0,0,0,0
24/3/17 0:30,19513,0,20:00.1,0,0,0,0
24/3/17 0:40,19514,0,30:00.1,0,0,0,0
24/3/17 0:50,19515,0,40:00.1,0,0,0,0
24/3/17 1:00,19516,0,50:00.1,0,0,0,0
24/3/17 1:10,19517,0,00:00.1,0,0,0,0
24/3/17 1:20,19518,0,10:00.1,0,0,0,0
24/3/17 1:30,19519,0,20:00.1,0,0,0,0
24/3/17 1:40,19520,0,30:00.1,0,0,0,0
24/3/17 1:50,19521,0,40:00.1,0,0,0,0
24/3/17 2:00,19522,0,50:00.1,0,0,0,0
24/3/17 2:10,19523,0,00:00.1,0,0,0,0
24/3/17 2:20,19524,0,10:00.1,0,0,0,0
24/3/17 2:30,19525,0,20:00.1,0,0,0,0
24/3/17 2:40,19526,0,30:00.1,0,0,0,0
24/3/17 2:50,19527,0,40:00.1,0,0,0,0
24/3/17 3:00,19528,0,50:00.1,0,0,0,0
24/3/17 3:10,19529,0,00:00.1,0,0,0,0
24/3/17 3:20,19530,0,10:00.1,0,0,0,0
24/3/17 3:30,19531,0,20:00.1,0,0,0,0
24/3/17 3:40,19532,0,30:00.1,0,0,0,0
24/3/17 3:50,19533,0,40:00.1,0,0,0,0
24/3/17 4:00,19534,0,50:00.1,0,0,0,0
24/3/17 4:10,19535,0,00:00.1,0,0,0,0
24/3/17 4:20,19536,0,10:00.1,0,0,0,0
24/3/17 4:30,19537,0,20:00.1,0,0,0,0
24/3/17 4:40,19538,0,30:00.1,0,0,0,0
24/3/17 4:50,19539,0,40:00.1,0,0,0,0
24/3/17 5:00,19540,0,50:00.1,0,0,0,0
24/3/17 5:10,19541,0,00:00.1,0,0,0,0
24/3/17 5:20,19542,0,10:00.1,0,0,0,0
24/3/17 5:30,19543,0,20:00.1,0,0,0,0
24/3/17 5:40,19544,0,30:00.1,0,0,0,0
24/3/17 5:50,19545,0,40:00.1,0,0,0,0
24/3/17 6:00,19546,0,50:00.1,0,0,0,0
24/3/17 6:10,19547,0,00:00.1,0,0,0,0
24/3/17 6:20,19548,0,10:00.1,0,0,0,0
24/3/17 6:30,19549,0,20:00.1,0,0,0,0
24/3/17 6:40,19550,0,30:00.1,0,0,0,0
24/3/17 6:50,19551,0,40:00.1,0,0,0,0
24/3/17 7:00,19552,0,50:00.1,0,0,0,0
24/3/17 7:10,19553,0,00:00.1,0,0,0,0
24/3/17 7:20,19554,0,10:00.1,0,0,0,0
24/3/17 7:30,19555,0,20:00.1,0,0,0,0
24/3/17 7:40,19556,0,30:00.1,0,0,0,0
